country,iso_code,year,ann_income_pc_growth_pct,gdp_pc_usd,life_expectancy_years,population_total,gdp_pc_rank,population_rank,ann_income_pc_growth_pct_rolling_3yr,gdp_pc_usd_yoy_pct,life_expectancy_years_yoy_pct,population_total_yoy_pct
United Kingdom,GBR,2024,0.339850376019996,52636.7865943853,81.2380975609756,69226000,7.0,6.0,0.339850376019996,6.983576959632876,0.0,1.0716580038544699
United States,USA,2015,2.95507621184076,56849.4697923159,78.690243902439,321815121,1.0,3.0,2.95507621184076,,,
United States,USA,2016,-0.248145130206083,57976.628204291,78.5390243902439,324353340,1.0,3.0,1.3534655408173386,1.982706991099259,-0.1921705978984889,0.7887196201697533
United States,USA,2017,1.98443719531898,60047.7190728307,78.5390243902439,326608609,1.0,3.0,1.563789425651219,3.572285820489318,0.0,0.6953124022092805
United States,USA,2018,2.4035674513206,62875.6661382728,78.6390243902439,328529577,1.0,3.0,1.3799531721444989,4.709499559861929,0.12732523834664278,0.5881559600898312
United States,USA,2019,1.83884113502309,65227.9565911038,78.7878048780488,330226227,1.0,3.0,2.075615260554223,3.741177783560934,0.189194218720945,0.51643752002275
United States,USA,2020,-4.30381651287594,64401.5074354212,76.9804878048781,331577720,1.0,3.0,-0.02046930884408364,-1.2670167806472676,-2.2939045909048383,0.4092627688230266
United States,USA,2021,5.33686657523864,71307.4017277218,76.3292682926829,332099760,1.0,3.0,0.9572970657952632,10.723187340335949,-0.8459539953109108,0.1574412177030471
United States,USA,2022,5.33686657523864,77860.9112908848,77.4341463414634,334017321,1.0,3.0,2.1233055458671135,9.190503937006067,1.4475155775683257,0.5774051146559156
United States,USA,2023,5.33686657523864,82304.6204272866,78.3853658536585,336806231,1.0,3.0,5.33686657523864,5.707240080713039,1.228423837722037,0.834959693602233
United States,USA,2024,5.33686657523864,85809.9003846356,78.3853658536585,340110988,1.0,3.0,5.33686657523864,4.258910300723406,0.0,0.981204234312405
